id,artist,title,gender,language,year,timeless,genre,theme,difficulty,coopfriendly,bpm,cover
"DontLeaveMeThisWay,Communards,Don't Leave Me This Way,Both,,1986,,Pop,""Love, Deep, Party"",Hard,,,51634172"
KidsInAmerica,Kim Wilde,Kids In America,Women,English,1981,,Rock,Party,Easy,,161,615956922
"WakeMeUpBeforeYouGoGo,Wham!,Wake Me Up Before You Go-Go,Both,,1984,,Pop,""Love, Deep, Party"",Hard,,,1399876"
"TheTideIsHigh,Blondie,The Tide Is High,Both,,1980,,Pop,""Love, Deep, Party"",Medium,,,304164"
"WhenWillIBeFamous,Bros,When Will I Be Famous,Both,,1988,,Pop,""Love, Deep, Party"",Hard,,,77763"
Gold,Spandau Ballet,Gold,Men,English,1983,,Pop,Party,VeryEasy,Coop,143,301784
TheOnlyWayIsUp,Yazz,The Only Way Is Up,Women,English,1988,,Pop,Party,VeryHard,Coop,124,15579102
"Ironic,Alanis Morissette,Ironic,Both,,1996,,Rock,""Love, Deep, Party"",Medium,,,92314"
BarbieGirl,Aqua,Barbie Girl,Both,English,1997,Timeless,Pop,Party,VeryHard,Coop,130,120044
"NothingCompares2U,Sinéad O'Connor,Nothing Compares 2 U,Women,English,1990,,Ballad,""Love, Deep"",Medium,Coop,60,326545317"
"TheRhythmOfTheNight,Corona,Rhythm of the Night,Both,,1995,,Electro,""Love, Deep, Party"",VeryHard,,,772215971"
"FreedFromDesire,Gala,Freed from Desire,Both,,1997,,Electro,""Love, Deep, Party"",Hard,,,637847"
"CottonEyeJoe,Rednex,Cotton Eye Joe,Both,,1995,,Pop,""Love, Deep, Party"",Medium,,,50131842"
PumpUpTheJam,Technotronic,Pump Up The Jam,Women,English,1989,,Electro,Party,VeryEasy,,125,287867
"Lovefool,The Cardigans,Lovefool,Both,,1996,,Pop,""Love, Deep, Party"",Easy,,,102639"
"MMMBop,Hanson,MmmmBop,Both,,1997,,Pop,""Love, Deep, Party"",Easy,,,8962501"
HowBizarre,OMC,How Bizarre,Both,English,1995,,Pop,Party,VeryEasy,Coop,125,91211172
"WindOfChange,Scorpions,Wind of Change,Both,,1990,,Rock,""Love, Deep, Party"",Easy,,,104459"
"AllStar,Smash Mouth,All Star,Both,,1999,,Rock,""Love, Deep, Party"",Easy,,,103376"
"Tears,Clean Bandit,Tears,Both,,2016,,Pop,""Love, Deep, Party"",Medium,,,13204732"
"NoMoney,Galantis,No Money,Both,,2016,,Pop,""Love, Deep, Party"",Medium,,,12649778"
PerfectStrangers,Jonas Blue Feat. JP Cooper,Perfect Strangers,Men,English,2016,,Electro,Love,Medium,Coop,118,132007312
"Reality,Lost Frequencies feat. Janieck Devy,Reality,Both,,2016,,Pop,""Love, Deep, Party"",Medium,,,44164091"
"SweetLovin,Sigala,Sweet Lovin,Both,,2014,,Pop,""Love, Deep, Party"",Medium,,,11675210"
"ChristmasLights,Coldplay,Christmas lights,Both,,2010,,Ballad,""Love, Deep, Party"",Easy,,,725326"
"LoneliestTimeOfYear,Mabel,Loneliest Time Of Year,Both,,2019,,Pop,""Love, Deep, Party"",Easy,,,119389532"
"ThankGodItsChristmas,Queen,Thank God It's Christmas,Both,,1984,,Ballad,""Love, Deep, Party"",Easy,,,725251"
"SomethinStupid,Robbie Wiliams feat. Nicole Kidman,Something Stupid,Both,,2001,,Ballad,""Love, Deep, Party"",Easy,,,299889"
"MerryChristmasEveryone,Shakin' Stevens,Merry Christmas Everyone,Both,,1985,,Ballad,""Love, Deep, Party"",Easy,,,184338402"
"WhiteWedding,Billy Idol,White Wedding,Both,,1982,,Rock,""Love, Deep, Party"",Medium,,,40714531"
"IJustDiedInYourArms,Cutting Crew,I Just Died in Your Arms,Both,,1986,,Rock,""Love, Deep, Party"",Medium,,,303129"
"IFoughtTheLaw,The Clash,I fought the Law,Both,,1977,,Rock,""Love, Deep, Party"",Easy,,,6812630"
"MySharona,The Knack,My Sharona,Both,,1979,,Rock,""Love, Deep, Party"",Medium,,,309820"
"MeantToBe,Bebe Rexha ft. Florida Georgia Line,Meant to Be,Both,,2017,,Pop,""Love, Deep, Party"",Medium,,,45854242"
"BuyMeABoat,Chris Janson,Buy Me a Boat,Both,,2015,,Pop,""Love, Deep, Party"",Hard,,,10171974"
"Fix,Chris Lane,Fix,Both,,2015,,Pop,""Love, Deep, Party"",VeryHard,,,603098102"
"OnMyWayToYou,Cody Johnson,On My Way to You,Both,,2018,,Ballad,""Love, Deep, Party"",Medium,,,84415672"
"YouShouldBeHere,Cole Swindell,You Should Be Here,Both,,2015,,Ballad,""Love, Deep, Party"",Easy,,,926313501"
"AwfulBeautifulLife,Darryl Worley,""Awful, Beautiful Life"",Both,,2004,,Pop,""Love, Deep, Party"",Hard,,,676923"
"AllOnMe,Devin Dawson,All on Me,Both,,2017,,Pop,""Love, Deep, Party"",Hard,,,15384471"
"BurningMan,Dierks Bentley ft. Brothers Osborne,Burning Man,Both,,2018,,Rock,""Love, Deep, Party"",VeryEasy,,,65025132"
"SmallTownBoy,Dustin Lynch,Small Town Boy,Both,,2017,,Pop,""Love, Deep, Party"",Medium,,,902134292"
"StreetsOfBakersfield,Dwight Yoakam & Buck Owens,Streets of Bakersfield,Both,,1988,,Pop,""Love, Deep, Party"",VeryEasy,,,513137"
"MyGirl,Dylan Scott,My Girl,Both,,2016,,Pop,""Love, Deep, Party"",Easy,,,13103000"
"RoundHereBuzz,Eric Church,Round Here Buzz,Both,,2015,,Pop,""Love, Deep, Party"",Medium,,,11650078"
"TheChair,George Strait,The Chair,Both,,1985,,Ballad,""Love, Deep, Party"",VeryEasy,,,100908"
"RhinestoneCowboy,Glen Campbell,Rhinestone Cowboy,Both,,1975,,Pop,""Love, Deep, Party"",VeryEasy,,,329487"
"BackroadSong,Granger Smith,Backroad Song,Both,,2015,,Pop,""Love, Deep, Party"",Hard,,,644266861"
"DownToTheHonkytonk,Jake Owen,Down to the Honkytonk,Both,,2018,,Pop,""Love, Deep, Party"",Medium,,,603095002"
"BestShot,Jimmie Allen,Best Shot,Both,,2018,,Pop,""Love, Deep, Party"",Hard,,,868241362"
"SunnyAnd75,Joe Nichols,Sunny and 75,Both,,2013,,Pop,""Love, Deep, Party"",Hard,,,892809742"
"DirtOnMyBoots,Jon Pardi,Dirt on My Boots,Both,,2016,,Rock,""Love, Deep, Party"",Hard,,,13366923"
"SinglesYouUp,Jordan Davis,Singles You Up,Both,,2017,,Pop,""Love, Deep, Party"",Medium,,,41809381"
"FollowYourArrow,Kacey Musgraves,Follow Your Arrow,Both,,2013,,Pop,""Love, Deep, Party"",Easy,,,6398248"
"PeterPan,Kelsea Ballerini,Peter Pan,Both,,2015,,Ballad,""Love, Deep, Party"",Medium,,,10085098"
"TheGambler,Kenny Rogers,The Gambler,Both,,1978,,Pop,""Love, Deep, Party"",Easy,,,300453"
"JustAKiss,Lady Antebellum,Just A Kiss,Both,,2011,,Ballad,""Love, Deep, Party"",Easy,,,604552222"
"RoadLessTraveled,Lauren Alaina,Road Less Traveled,Both,,2016,,Pop,""Love, Deep, Party"",Medium,,,343944637"
"ILoveThisLife,LoCash,I Love This Life,Both,,2015,,Pop,""Love, Deep, Party"",Hard,,,458706265"
"ThinkALittleLess,Michael Ray,Think a Little Less,Both,,2015,,Pop,""Love, Deep, Party"",Easy,,,9213673"
"TheseDays,Rascal Flatts,These Days,Both,,2002,,Pop,""Love, Deep, Party"",Hard,,,296623"
"TakeYourTime,Sam Hunt,Take Your Time,Both,,2014,,Pop,""Love, Deep, Party"",Easy,,,8880061"
"IWannaTalkAboutMe,Toby Keith,I Wanna Talk About Me,Both,,2001,,Pop,""Love, Deep, Party"",VeryHard,,,100093"
"LoveYouLikeThat,Canaan Smith,Love You Like That,Both,,2015,,Pop,""Love, Deep, Party"",Medium,,,10613902"
"IHopeYouDance,Lee Ann Womack,I Hope you Dance,Both,,2000,,Ballad,""Love, Deep, Party"",Easy,,,228332"
"IDriveYourTruck,Lee Brice,I Drive Your Truck,Both,,2012,,Ballad,""Love, Deep, Party"",Medium,,,7505739"
"InHellIllBeInGoodCompany,The Dead South,In Hell I’ll Be in Good Company,Both,,2014,,Ballad,""Love, Deep, Party"",Easy,,,64253202"
"WhenICallYourName,Vince Gill,When I Call Your Name,Both,,1989,,Ballad,""Love, Deep, Party"",Medium,,,118156"
IWillSurvive,Gloria Gaynor,I Will Survive,Women,English,1978,Timeless,Pop,Party,VeryEasy,,116,108644
"BadRomance,Lady Gaga,Bad Romance,Women,English,2009,,Pop,""Party, Love"",Medium,Coop,119,107877682"
"TheFear,Lilly Allen,The Fear,Both,,2009,,Pop,""Love, Deep, Party"",Easy,,,425238"
"BoysDontCry,The Cure,Boys Don't Cry,Both,,1980,,Rock,""Love, Deep, Party"",Medium,,,122552"
"AThousandMiles,Vanessa Carlton,A Thousand Miles,Both,,2001,,Ballad,""Love, Deep, Party"",Medium,,,109423"
"WalkingOnSunshine,Katrina & The Waves,Walking On Sunshine,Both,,1983,,Pop,""Love, Deep, Party"",Easy,,,304138"
"UCantTouchThis,MC Hammer,U Can't Touch This,Both,,1990,,HipHop,""Love, Deep, Party"",Easy,,,302178"
"NeverGonnaGiveYouUp,Rick Astley,Never Gonna Give You Up,Both,,1987,,Pop,""Love, Deep, Party"",Easy,,,901415162"
"UpsideDown,Diana Ross,Upside Down,Both,,1980,,Pop,""Love, Deep, Party"",Easy,,,430643"
"OurHouse,Madness,Our House,Both,,1982,,Pop,""Love, Deep, Party"",Easy,,,664372011"
"FallingInLoveWithYou,UB40,(I Can't Help) Falling In Love With You,Both,,1993,,Ballad,""Love, Deep, Party"",Easy,,,301763"
"BlueMonday,New Order,Blue Monday,Both,,1988,,Pop,""Love, Deep, Party"",Easy,,,84572"
"WeWillRockYou,Queen,We will Rock You,Both,,1977,,Rock,""Love, Deep, Party"",Easy,,,1121181"
"MadWorld,Tears for Fears,Mad World,Both,,1983,,Ballad,""Love, Deep, Party"",Medium,,,117810"
"AKindOfMagic,Queen,A Kind of Magic,Both,,1986,,Rock,""Love, Deep, Party"",Medium,,,726319"
"BicycleRace,Queen,Bicycle Race,Both,,1978,,Rock,""Love, Deep, Party"",Hard,,,6605779"
"BohemianRhapsody,Queen,Bohemian Rhapsody,Both,,1975,,Rock,""Love, Deep, Party"",Hard,,,915785"
"Breakthru,Queen,Breakthru,Both,,1989,,Rock,""Love, Deep, Party"",Medium,,,726319"
"FatBottomedGirls,Queen,Fat Bottomed Girls,Both,,1978,,Rock,""Love, Deep, Party"",Medium,,,6605779"
"GoodOldFashionedLoverBoy,Queen,Good Old Fashioned Lover Boy,Both,,1976,,Rock,""Love, Deep, Party"",Medium,,,1132644"
"Headlong,Queen,Headlong,Both,,1991,,Rock,""Love, Deep, Party"",Medium,,,726319"
"IWantItAll,Queen,I Want It All,Both,,1989,,Rock,""Love, Deep, Party"",Medium,,,1475721"
"Innuendo,Queen,Innuendo,Both,,1991,,Rock,""Love, Deep, Party"",Hard,,,726319"
"ItsAHardLife,Queen,It's A Hard Life,Both,,1984,,Rock,""Love, Deep, Party"",Medium,,,726319"
"KillerQueen,Queen,Killer Queen,Both,,1974,,Rock,""Love, Deep, Party"",Medium,,,915783"
"NowImHere,Queen,Now I'm Here,Both,,1974,,Rock,""Love, Deep, Party"",Medium,,,6605779"
"OneVision,Queen,One Vision,Both,,1986,,Rock,""Love, Deep, Party"",Medium,,,1236000"
"PlayTheGame,Queen,Play The Game,Both,,1980,,Rock,""Love, Deep, Party"",Medium,,,6605779"
"PrincesOfTheUniverse,Queen,Princes Of The Universe,Both,,1986,,Rock,""Love, Deep, Party"",Medium,,,1132644"
"SaveMe,Queen,Save Me,Both,,1980,,Rock,""Love, Deep, Party"",Medium,,,1121182"
"SomebodyToLove,Queen,Somebody To Love,Both,,1976,,Rock,""Love, Deep, Party"",Medium,,,917232"
"TheInvisibleMan,Queen,The Invisible Man,Both,,1989,,Rock,""Love, Deep, Party"",Medium,,,726319"
TheShowMustGoOn,Queen,The Show Must Go On,Men,English,1991,Timeless,Rock,Party,Easy,Coop,84,726319
"TieYourMotherDown,Queen,Tie Your Mother Down,Both,,1976,,Rock,""Love, Deep, Party"",Medium,,,917233"
"WeAreTheChampions,Queen,We Are The Champions,Both,,1977,,Rock,""Love, Deep, Party"",Medium,,,6605779"
"WhoWantsToLiveForever,Queen,Who Wants To Live Forever,Both,,1986,,Rock,""Love, Deep, Party"",Medium,,,726319"
"YoureMyBestFriend,Queen,You're My Best Friend,Both,,1975,,Rock,""Love, Deep, Party"",Medium,,,915786"
