id,artist,title,gender,language,year,timeless,genre,theme,difficulty,coopfriendly,bpm,cover
"ILoveIt,Icona Pop,I Love It,Both,,2012,,Electro,""Love, Deep, Party"",VeryEasy,,,5293221"
"Demons,Imagine Dragons,Demons,Both,,2012,,Rock,""Love, Deep, Party"",Medium,,,6240279"
"BonfireHeart,James Blunt,Bonfire Heart,Both,,2013,,Ballad,""Love, Deep, Party"",VeryEasy,,,7014830"
"LoveMeAgain,John Newman,Love Me Again,Both,,2013,,Pop,""Love, Deep, Party"",Easy,,,6597870"
"CantGetYouOutOfMyHead,Kylie Minogue,Can't Get You Out of My Head,Both,,2001,,Electro,""Love, Deep, Party"",VeryEasy,,,299771"
"LetMeDownGently,La Roux,Let Me Down Gently,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,8128990"
"SummertimeSadness,Lana Del Rey,Summertime Sadness,Both,,2012,,Ballad,""Love, Deep, Party"",VeryEasy,,,1503218"
"SomewhereOnlyWeKnow,Lily Allen,Somewhere Only We Know,Both,,2013,,Ballad,""Love, Deep, Party"",VeryEasy,,,7129396"
Royals,Lorde,Royals,Women,English,2013,,Pop,Deep,Hard,Coop,85,6909237
"FirstDayOfMyLife,Melanie C,First Day of My Life,Both,,2005,,Pop,""Love, Deep, Party"",VeryEasy,,,139746442"
"Waves,Mr. Probz,Waves (Robin Schultz Radio Edit),Both,,2014,,Electro,""Love, Deep, Party"",VeryEasy,,,174320212"
"CountingStars,OneRepublic,Counting Stars,Both,,2013,,Rock,""Love, Deep, Party"",Medium,,,7811259"
"LoveRunsOut,OneRepublic,Love Runs Out,Both,,2014,,Rock,""Love, Deep, Party"",VeryEasy,,,7811259"
"LetHerGo,Passenger,Let Her Go,Both,,2012,,Ballad,""Love, Deep, Party"",VeryEasy,,,81710372"
"GoWest,Pet Shop Boys,Go West,Both,,1993,,Electro,""Love, Deep, Party"",VeryEasy,,,688033"
"RadioGaGa,Queen,Radio Ga Ga,Both,,1984,,Rock,""Love, Deep, Party"",Hard,,,726319"
"ComeAndGetIt,Selena Gomez,Come & Get It,Both,,2013,,Pop,""Love, Deep, Party"",VeryEasy,,,6495493"
"RhythmIsADancer,Snap!,Rhythm Is a Dancer,Both,,1992,,Electro,""Love, Deep, Party"",VeryEasy,,,901406882"
"True,Spandau Ballet,True,Both,,1983,,Ballad,""Love, Deep, Party"",VeryEasy,,,301784"
"PushTheButton,Sugababes,Push the Button,Both,,2005,,Pop,""Love, Deep, Party"",VeryEasy,,,102940"
"LoveShack,The B-52's,Love Shack,Both,,1989,,Rock,""Love, Deep, Party"",VeryEasy,,,366876"
VideoKilledTheRadioStar,The Buggles,Video Killed The Radio Star,Men,English,1979,,Pop,Party,Easy,Coop,131,246560
"ShouldIStayOrShouldIGo,The Clash,Should I Stay or Should I Go,Both,,1982,,Rock,""Love, Deep, Party"",VeryEasy,,,6861104"
"InTheShadows,The Rasmus,In the Shadows,Both,,2003,,Rock,""Love, Deep, Party"",Medium,,,6070627"
"InTheNavy,Village People,In the Navy,Both,,1979,,Pop,""Love, Deep, Party"",VeryEasy,,,660234"
"SaturdayNight,Whigfield,Saturday Night,Both,,1994,,Electro,""Love, Deep, Party"",Easy,,,637836"
"StayTheNight,Zedd,Stay the Night,Both,,2013,,Electro,""Love, Deep, Party"",VeryEasy,,,7972412"
"Problem,Ariana Grande ft. Iggy Azalea,Problem,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,8436154"
"TheNights,Avicii,The Nights,Both,,2014,,Electro,""Love, Deep, Party"",VeryEasy,,,9188269"
"Outside,Calvin Harris ft. Ellie Goulding,Outside,Both,,2014,,Electro,""Love, Deep, Party"",VeryEasy,,,8990105"
"BoomClap,Charli XCX,Boom Clap,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,9605886"
"RealLove,Clean Bandit & Jess Glynne,Real Love,Both,,2014,,Electro,""Love, Deep, Party"",VeryEasy,,,8835373"
"ASkyFullOfStars,Coldplay,A Sky Full of Stars,Both,,2014,,Rock,""Love, Deep, Party"",VeryEasy,,,7769437"
"Ghost,Ella Henderson,Ghost,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,7801357"
"Budapest,George Ezra,Budapest,Both,,2013,,Pop,""Love, Deep, Party"",VeryEasy,,,6991678"
YoureBeautiful,James Blunt,You're Beautiful,Men,English,2005,,Ballad,Love,VeryHard,,82,257970
"HoldMyHand,Jess Glynne,Hold My Hand,Both,,2015,,Pop,""Love, Deep, Party"",VeryEasy,,,10990494"
"BangBang,""Jessie J, Ariana Grande & Nicki Minaj"",Bang Bang,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,8173012"
"AllOfMe,John Legend,All of Me,Both,,2013,,Ballad,""Love, Deep, Party"",VeryEasy,,,6872923"
"Hideaway,Kiesza,Hideaway,Both,,2014,,Electro,""Love, Deep, Party"",VeryEasy,,,8006006"
"Applause,Lady Gaga,Applause,Both,,2013,,Pop,""Love, Deep, Party"",VeryEasy,,,86712972"
"BleedingLove,Leona Lewis,Bleeding Love,Both,,2007,,Ballad,""Love, Deep, Party"",VeryEasy,,,54590"
"UptownFunk,Mark Ronson ft. Bruno Mars,Uptown Funk,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,9411436"
"AllAboutThatBass,Meghan Trainor,All About That Bass,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,8513647"
Maneater,Nelly Furtado,Maneater,Women,English,2006,,Pop,Party,Easy,Coop,133,123339
"Up,Olly Murs ft. Demi Lovato,Up,Both,,2011,,Pop,""Love, Deep, Party"",VeryEasy,,,1194860"
DontStopMeNow,Queen,Don't Stop Me Now,Men,English,1979,Timeless,Rock,Party,VeryHard,Coop,157,1121401
"IWillNeverLetYouDown,Rita Ora,I Will Never Let You Down,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,547066582"
ItMustHaveBeenLove,Roxette,It Must Have Been Love,Both,English,1987,,Pop,Love,Easy,Coop,81,299784
"StayWithMe,Sam Smith,Stay With Me,Both,,2014,,Ballad,""Love, Deep, Party"",VeryEasy,,,11603598"
"Chandelier,Sia,Chandelier,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,7927592"
"Changing,Sigma feat. Paloma Faith,Changing,Both,,2014,,Electro,""Love, Deep, Party"",VeryEasy,,,8535793"
"FridayImInLove,The Cure,Friday I'm In Love,Both,,1992,,Rock,""Love, Deep, Party"",VeryEasy,,,120750"
"NoScrubs,TLC,No Scrubs,Both,,1999,,Pop,""Love, Deep, Party"",VeryEasy,,,116323"
"SheLooksSoPerfect,5 Seconds of Summer,She Looks So Perfect,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,7989512"
"WaitingForLove,Avicii,Waiting for Love,Both,,2015,,Electro,""Love, Deep, Party"",VeryEasy,,,11192186"
"SomethingINeed,Ben Haenow,Something I Need,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,9365814"
"HowDeepIsYourLove,Calvin Harris,How Deep Is Your Love,Both,,2015,,Electro,""Love, Deep, Party"",VeryEasy,,,10817804"
"IReallyLikeYou,Carly Rae Jepsen,I Really Like You,Both,,2015,,Pop,""Love, Deep, Party"",VeryEasy,,,835414752"
"OneCallAway,Charlie Puth,One Call Away,Both,,2015,,Pop,""Love, Deep, Party"",VeryEasy,,,12231484"
"AdventureOfALifetime,Coldplay,Adventure of a Lifetime,Both,,2015,,Rock,""Love, Deep, Party"",VeryEasy,,,11580496"
"LoveMeLikeYouDo,Ellie Goulding,Love Me Like You Do,Both,,2015,,Pop,""Love, Deep, Party"",VeryEasy,,,11603406"
"MeMyselfAndI,G-Easy feat. Bebe Rexha,""Me, Myself & I"",Both,,2015,,HipHop,""Love, Deep, Party"",VeryEasy,,,11848868"
"WantToWantMe,Jason Derulo,Want to Want Me,Both,,2015,,Pop,""Love, Deep, Party"",VeryEasy,,,10333912"
"DontBeSoHardOnYourself,Jess Glynne,Don't Be So Hard on Yourself,Both,,2015,,Pop,""Love, Deep, Party"",VeryEasy,,,10930032"
"ComeAndGetIt,John Newman,Come and Get It,Both,,2013,,Pop,""Love, Deep, Party"",VeryEasy,,,6495493"
"Sorry,Justin Bieber,Sorry,Both,,2015,,Pop,""Love, Deep, Party"",VeryEasy,,,11674708"
"SexyAndIKnowIt,LMFAO,Sexy and I Know It,Both,,2011,,Electro,""Love, Deep, Party"",VeryEasy,,,1152698"
"LipsAreMovin,Meghan Trainor,Lips Are Movin,Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,8916809"
"NO,Meghan Trainor,No,Both,,2016,,Pop,""Love, Deep, Party"",VeryEasy,,,41265521"
"Cheerleader,OMI,Cheerleader (Felix Jaehn Remix),Both,,2014,,Pop,""Love, Deep, Party"",VeryEasy,,,7766112"
"Sugar,Robin Schulz ft. Francesco Yates,Sugar,Both,,2015,,Electro,""Love, Deep, Party"",VeryEasy,,,11205348"
"Glitterball,Sigma ft. Ella Henderson,Glitterball,Both,,2015,,Electro,""Love, Deep, Party"",VeryEasy,,,10801878"
"WhereAreUNow,Skrillex & Diplo feat. Justin Bieber,Where Are Ü Now,Both,,2015,,Electro,""Love, Deep, Party"",VeryEasy,,,9760264"
"Roses,The Chainsmokers feat. Rozes,Roses,Both,,2015,,Electro,""Love, Deep, Party"",VeryEasy,,,10218722"
"NotLettingGo,Tinie Tempah ft. Jess Glynne,Not Letting Go,Both,,2015,,HipHop,""Love, Deep, Party"",VeryEasy,,,10631672"
